"identification_number","mode_of_attendance_code","type_of_attendance_code","nesb_indicator","citizenship_indicator","study_area","course_level","raw_comment","train_category"
2430131054894,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The amount of major assignments are fair. Some advanced courses require prerequisite knowledge which makes it disadvantageous for the students who did not study prior to the subject.","OK"
2430131054980,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The best aspects of the Bachelor Degree of Science are the assessment tasks, especially the mobius-based tests which relieve the pressure of the final exam. Aspects of the program that need most improvement is that there should be group tasks as it allows more social interaction within the classes.","OK"
2430131055090,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","Being able to meet new people and people who I have been able to remain friends with over the last couple of terms. For me personally I found it a little bit frustrating that most of the courses for my major wasn't offered till the last term.","OK"
2430131055194,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","AVIA1111 and flight selection. Relevance of some courses such as science communication and the math courses.","OK"
2430131055216,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","I enjoyed learning about finance and micro economics also there is a lower in person time commitment plus work load when compared to my other degree (engineering) which meant I was able to focus more on the more time demanding subjects whilst not sacrificing my commitment to commerce courses. Some of the courses feel unrelated/ unstructured e.g comm1120 is about collaboration. Whilst I feel this is important I feel it should not be a mandatory course.","OK"
2430131055293,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The course layout, help from the nucleus student hub in working out what to do and how to schedule classes, flexibility, some lecturers. Some organisation/ clarity in some courses that may be be less organised than others, learning how to self direct learning and manage study schedule.","OK"
2430131055343,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","Learning chemistry and biology that's relevant for me in the futureMeeting people that have similar interests in my program Interacting with lecturers who are enthusiastic about their contentHaving some food related subjects so I can learn the fundamentals of food rather than only doing scienceGreat course lead who inspired me to stay in dietetics and make this my career. Some courses we've taken definitely need to be organised better It would be nice if we could choose some electives cause it's nice for all the graduates to have some different qualities they've developed.","OK"
2430131055416,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","Developing new skills and views, meeting new people, interactive with and learning from tutors. Support outside of classroom.","OK"
2430131055466,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Meeting new people and being able to do experiments and understand certain topics. N/a.","OK"
2430131055605,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Being introduced to new forms of thinking and a vast variety of literature. Delving deeper into readings in tutorials.","OK"
2430131055641,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","I honestly enjoyed a particular course (COMM1110) which taught us the basics of Excel, a relevant tool for my future career. Relevance. The First Year Integrated Course structure at UNSW feels like a huge gamble for money, I would have never wanted to pursue it at UNSW if I knew I would be taking subjects like COMM1150 which bear very little relevance to what I want to do. It's a waste of time, I'd rather jump straight into majors rather than being forced to pay through the nose for a year to learn subjects that are just common sense apart from a few.","OK"
2430131055669,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","The workshop facilities and staff are always very helpful during the end of term. The online exam platforms that they use and the schedule of assignment throughout the term across classes could be better managed.","OK"
2430131055779,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Being able to meet like minded individuals. Having an online platform with recourses.Well structured schedule.Ability to choose timetable. Some lecturers do not teach that well. However, for the most part, most have taught well.","OK"
2430131055795,"Internal","Full-time","English speaking background","Domestic","Medicine","Undergraduate","Clinical Skills, doctors as teachers, hands on classes. Teaching us university study techniques. Quality of facilitators and some lecturers (hard to understand). More practice questions.","OK"
2430131055829,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Getting to meet likeminded people and see what my degree entails. The lecturers, sometimes they're difficult to understand and I find in one particular course I took that the lectures were not helpful at all and the lecturer was not very supportive or actively trying to help us learn.","OK"
2430131056091,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Interactive tutorials, wide range of class types. Questionable relevance of some commerce courses.","OK"
2430131056349,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","Learning in a physical environment with peers, practicals to put theory into context. Idk I don't have complaints.","OK"
2430131056380,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Getting to make new friends. The content is sometimes not useful.","OK"
2430131056399,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Getting to work with a range of people. More description and focus on the first year courses (greater understanding of how they apply majors).","OK"
2430131056400,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","Each course has a clear focus.Face to face seminars are more engaging than the common course layout of lecture then tutorial. It is assumed by the teacher that everyone has done the readings, which means time is not lost to explaining them and more relevant questions can be asked.","OK"
2430131056659,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Additional programs and faculty involvement in career development. Online nature of lectures - not enough engagement.","OK"
2430131056729,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","The small cohort which fostered really great friendships. Some instruction and courses did not feel very relevant.","OK"
2430131056751,"Internal","Full-time","English speaking background","Domestic","Psychology","Undergraduate","Learning various aspects of the course. More engagement with students and learning material.","OK"
2430131056812,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","It has provided a range of possible courses for me to take that teach me a variety of skills and knowledge. Digital Studio 2 did not reach me as much about sound design and sound editing as I was hoping it would.","OK"
2430131056843,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Getting to do so much hands on laboratory work to apply the theory practically, aiding my understanding of topics I couldn't quite grasp before. Moodle.","OK"
2430131056858,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The classes. Some assignment outlines are very vague.","OK"
2430131056862,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","I've really enjoyed engaging with course materials through the lectures and how interactive the lecturers are. I also like the ways we are encouraged to think critically and express out opinions verbally. I believe the amount of readings are somewhat unrealistic for the average uni student who is most likely balancing work and study.","OK"
2430131056896,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","The best aspects of the Bachelor of vision science degree have been the ability to interact with new people from all over the state and country. As well as, the practical and laboratory work that has incorporated throughout the course, making it engaging and eventful. The amount of information given out during lectures, as some information can be irrelevant to assessment tasks. As well as, explanations for tutorial questions can be a bit rushed which hinders understanding.","OK"
2430131056900,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","The tutors. Having more diverse first year courses.","OK"
2430131056927,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","I enjoyed how structured the course is and that the knowledge from a class will be directly built upon as you continue the program. Possibly being more engaging in lectures and doing different types of assessments?.","OK"
2430131056939,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","The program is very involved and challenges students with projects that are closer towards the field of study, giving a very strong foundation to a future career path in the design and architectural industry. Although the workload was heavy and challenging, I enjoyed learning about the discipline. Tutorials are typically quite engaging and tutors often speak to students one on one about their progress and development. From my experience as a student with a neurological disability, staff have all been very understanding and considerate towards my condition and tried to help me in the ways that they could. Even if situations did not go well for me, I could tell that most of them had good intentions. The program in regards to structure and timing is quite inflexible. Often times, lectures and tutorials are only held at one timing per week, meaning students have to reorganise their daily timetables and activities to revolve around uni. This is quite inconvenient for students who have jobs or other appointments during the day, or students who live far from campus and have to commute, as they cannot select alternate class timings to suit them. In addition to this, the overall program is very structured, with lots of courses that require the completion of prerequisite courses. However, sometimes, only specific courses are offered during the term. This means that if students were to slightly differ from the sample program layout, their future progression could be significantly affected. In my case, with my disability, I struggle a lot with the heavy workload and find it hard to get good grades when taking all of the required courses. Yet, the consequences of dropping a single course could stunt my course enrollment for the following terms. Another aspect of the program that affected me is communication with staff. With my condition, I am granted learning adjustments to have more flexibility around task deadlines, but only upon agreement with the course convener. During the year, some of my conveners were very responsive, which really helped me. But some did not respond to my emails in time, or at all, which not only affected my stress levels, but also prevented me from having my extensions implemented and thus impacted my performance and grades in certain tasks.","OK"
2430131056968,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","As part of my degree experience so far, engaging in clubs and societies as a subcommittee member and through events has been one of the most fulfilling aspects as I have been able to interact with like minded students and develop soft skills such as networking and problem solving and technical skills through case competitions. In my experience, some rooms and venues throughout campus have been lacking in terms of equipment and consistent Wi-Fi connection which has especially impacted my experience as a Bachelor of Information Systems student who needs access to an efficient network to complete class activities.","OK"
2430131057333,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Being able to do higher level maths. More of a bridge between first year and second year.","OK"
2430131057579,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The interactive tutorials. Some lectures are poorly executed.","OK"
2430131057626,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","I enjoy the weekly labs and assignments.","OK"
2430131057639,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","I enjoyed the PPE specific class that's taken in term 1. The lecturers were engaging. I would rather have more classes that integrate all three aspects. I loved learning economics and politics but I only really enjoyed philosophy when learning in relation to the other two subjects. The division between all these 3 classes makes the course not really seem concise or connected.","OK"
2430131057766,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","All the tutor and lecturers are willing to help me with whatever problems I am encountering, either with my work or sometimes issued when submitting. I think sometimes there are some irrelevant course that could be cut for my first year, since I enrolled into one and it was just talking about theoretical sides about data and find it not very useful towards my future work or study.","OK"
2430131057774,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The teaching team is really good, helps me to understand clearer compared to some of the teaching team in bachelor of media. I feel very engaged with my commerce degree and it is more fun for me. I think there needs to be a bit more open community, so that i can easily connect with more people rather than everyone already being in their own groups.","OK"
2430131057938,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The best aspects of my Bachelor of Arts program is the content of the courses including a wide range of topics to cover all areas of interest while focusing on certain areas and providing a good range of learning areas. I think the content presentation and assessments are very well done it is just mostly with receiving feedback that hasn't been the most helpful to me.","OK"
2430131057947,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The collaboration between peers and external societies that offer guidance. Some course structures could be revised to be mire clear and concise content.","OK"
2430131057989,"Internal","Full-time","English speaking background","Domestic","Pharmacy","Undergraduate","Meeting new people from different schools and areas. The course is overall great as it is very different from high school subjects. I believe the class schedules need to be more available. This is because, most of us have a part-time job and we want to make our timetable efficient as possible.","OK"
2430131057992,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","Learning something new and really utilising what we learn practically. Some of the lecturers don't effectively explain the course they teach meaning catch up is needed.","OK"
2430131058107,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","The best aspects of this degree is the community built within the cohort. With a small cohort of around 35 students, everyone feels accepted and it's easier to engage in class and with each other. Another aspect is the support networks we have in this course, that is the tutors and lecturers. The aspect that needs the most improving is how assessment tasks are introduced and more clarification is needed on details of the assessment and how they are graded.","OK"
2430131058491,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Being able to collaborate with a diverse group of students of different age groups and backgrounds. Having access to rehearsal spaces and technology for staging. The practical aspects of the BA program have been exciting and invigorating. Structure of the courses needs to be improved as does generally competency of the tutors. Some tutors have wrongly assigned marks or have produced an insufficient amount of feedback on assignments.","OK"
2430131058552,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The labs! The extracurricular programs. Learning useful research skills.","OK"
2430131058585,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","1. Access to study spaces 2. Medical science society 3. Labs/ practicals. 1. Lectures.","OK"
2430131058605,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Content is broken up in a comprehensible way over the term. Some content seems slightly irrelevant to my future work.","OK"
2430131058688,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Learning physics. More organised tutors.","OK"
2430131058816,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","The friendly teachers and interactive tutorials. especially prof. [specified name removed] [specified name removed].","OK"
2430131058824,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","I have enjoyed working with others. The quality and digestibility of the information available regarding the 1 year mandatory exchange requires significant improvement.","OK"
2430131058965,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","The technical skills in drawing rather than going off imagination. More time spent on encouraging students to do workshops during class time.","OK"
2430131058982,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","Engaging with other people with intellectual, diverse and creative backgrounds. The course itself is very hands on which I enjoy as it can be challenging. More clearer instructions and allowing flexible time to do work.","OK"
2430131059108,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","So far, I have most enjoyed the biology/medical related subjects. I have found the chemistry subjects difficult, especially since it is not an area I want to pursue a career in.","OK"
2430131059109,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","Learning how to use programs and work efficiently. More structure for the courses.","OK"
2430131059194,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The program had a decent mix of theory and practical work, but some parts felt a bit repetitive. While a few subjects were engaging, others didn't offer much beyond the basics. Some of the content could be more up-to-date with current industry practices. Additionally, there was a lack of advanced electives in certain areas of material science, and more real-world applications would have been beneficial.","OK"
2430131059384,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The interaction between lecturers and students and the way lecturers emphasise on the importance of doing practices and exercise such as practical work instead of plainly learning off theory. A better introduction to the course and the assessment rather just asking us to refer to the course outline. Moreover, explaining technical terms rather than assuming we already have prior knowledge.","OK"
2430131059401,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","Well constructed lectures and lessons designed specifically to help us engage in the content we are learning such as EP tasks before, during and after classes. For courses such as BENV1015 and INTA3002, the prescribed texts in leganto are quite lengthy and difficult to read.","OK"
2430131059403,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Best aspects in regards to learning methods would be collaborative tutorials which allows group work and hard questions to provoke different ways of thinking of how to solve each question. And further allowed me to adapt the different ways other may think and develop a greater knowledge, whiles also asking for further help from the tutor when clarification is needed.","OK"
2430131059478,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Some class Moodle structures are rough.","OK"
2430131059719,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The program has allowed me to explore multiple disciplines and the various ways their courses operate. I've enjoyed the chance to engage in different kinds of work and mental stimulation (i.e. critical analysis and writing in politics courses and mathematical analysis in economics). The PPE1001 course itself needs improvement. As an introduction to the course, while it logically makes sense to dive into the different disciplines and learn on the go, it was extremely difficult and confusing for students who had not been exposed to that kind of content to be expected to know of different schools of thought like realism without explicitly being taught. Some more structure to support students in making these connections independently would be extremely beneficial.","OK"
2430131059867,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The course coordinator for Introduction to Civil Engineering was one of the best lectures I've had this entire year. Similarly, Engineering Mechanics tutorial assistance I received was very beneficial to my learning.The Maths and Physics support classes are really good for teaching everything I don't understand about a subject. All the math lecturers I've had I found very difficult to get stuff out of their lectures and I found I learnt everything about that subject on my own research.","OK"
2430131060299,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Being able to engage with a range of students and lecturers over the semester. Additionally being given opportunities for further help. The feedback times (quicker).","OK"
2430131060432,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Some of the more practical stuff like learning code and things like that were more engaging and interesting content, however they way its taught is lacking as we aren't told what does what. Group assignments and clarity on assignments. some of them lack clarity or become very lengthy in their explanation they lead to misinterpretation.","OK"
2430131060481,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","I enjoyed being able to take a flexible approach to my learning, and not having to choose a major in first year. Some lecturers clearly do not want to be there.","OK"
2430131060624,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Collaboration and Teamwork with other like-minded students- The inclusion of both business and technology, creating a more wide intake of information and knowledge- Industry relevant scenarios and problem solving that will be useful in future careers in the workplace. Increasing opportunities for internships and experience- Updates in the curriculum to stay relevant with technology.","OK"
2430131060886,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","One of the best parts of the Food Science (Honours) program has been discovering the many career pathways it can lead to. The tutors, lecturers, and guest speakers have all been incredibly supportive, encouraging me to see the wide range of opportunities in the food industry. Their guidance has inspired me to think about the different ways I can contribute to the field. Also in my first year, I got to meet so many people outside of the food science course (like chemical engineering and engineering students). Through this, I made close connections with them and made social study groups to help me too. While the program provides valuable skills, there are times when certain courses make me question their relevance to Food Science before starting them. For instance, courses that focus heavily on coding can feel disconnected from the main focus of the degree. It would be helpful if, at the beginning of these courses, there was more explanation on how they are applicable to the field. This way, students could better understand the significance each course brings to their overall education and future careers.","OK"
2430131060894,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","Learning with fellow design students having to doing assessments with people you have never met before can be scary but a fun experience. Some tutor don't know how to teach.","OK"
2430131061260,"Internal","Full-time","English speaking background","Domestic","Medicine","Undergraduate","In person lectures, getting to know my peers. Lab work doesn't seem that relevant and/or is not time efficient.","OK"
2430131061465,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","Early observation practical (Term 1), a condensed timetable for minimal days required on campus, small tutorials/classes, clear outline of course progression, spread out assessment task due dates. In-person meetings available with faculty members where a set office/staff room is expressed to students, greater assistance in explaining required documents and procedures before the first placement (particularly as it was so soon after starting).","OK"
2430132004289,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","Friendly staff. Class Participation should contribute less to my grade. Class Participation marks also very inconsistent.","OK"
2430132006127,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Content and assessments are interesting to learn.","OK"
2430132006827,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Need to be better at accommodating students with accessibility needs.","OK"
2430132008856,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","The support and teaching from supervisors. The hands-on clinical experience, in pre-clinic and with real patients. Upfront communication regarding future education (e.g. expected costs of 4th year, structure of 5th year).","OK"
2430132009755,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Hurdles for final exams should be removed - really stressful for students especially when the final exams are hard to pass.","OK"
2430132010524,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The courses taught in French help immensely with practicing the language. The creative writing courses do not showcase a great variety of works. Most examples are literary and deal with serious themes. There is nothing about writing for children or younger audiences, no comedic examples except for dark humour, nothing considered genre fiction such as crime, romance, or speculative work. I think students would benefit from a broader selection of works.","OK"
2430132011058,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","Challenging, diverse range of electives and initiatives, opportunities for competitions, fellowships, overseas electives etc. Flexibility, clarity around progression, and smoother enrolment processes.","OK"
2430132011963,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The best aspect of my Economics program was how approachable and helpful the teaching staff were. Although it helped me realise that I don't want to take on Economics as a career, I am glad to have developed the critical thinking skills required for my career through my Economics course content. Towards the end of my degree we had a few closed book and in person economics exams. The only problem with closed book is the fact that it is a repeat of high school (memorising, etc). We live in a world that is ever changing and people's skills must be adaptable. Many things can either be looked up or learned on the job. Considering that it would be helpful for future economics students to atleast bring their notes to exams so that there's a higher focus on applying concepts instead of relying on memorisation.","OK"
2430132012042,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","I like the open-mindedness and type of people Media degrees attract which make for more genuine friendship-making and the ability to express my views meaningfully in ways that my Commerce degree can't allow. More practical connections to do in-course interaction and prompts from real media agencies outside of the special internship courses would be beneficial for those that already have jobs on the side but want a different flavour in the industry.","OK"
2430132013757,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Practicals help develop my understanding of concepts by seeing them in real life scenarios. Clearer feedback for assessment.","OK"
2430132013767,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","It's relevance to my professional career.","OK"
2430132013938,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","Ability to apply learning in practical situations, meeting other students. I believe it would be helpful to have prac earlier on in the degree to have experience in the classroom earlier on.","OK"
2430132013979,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","All lecturers are passionate and as such the content is engaging.There's a wide range of subjects that can be chosen which is nice. Room 518. The computers are at eye-level, which I understand is ergonomically correct, but it's hard to see the front of the room. The TVs at the side of the room do help a bit though, but when the demonstrator uses the whiteboard it's hard.","OK"
2430132014248,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Being able to explore different fields of biomedical engineering. More support because sometimes there is a steep learning curve because of unspoken perquisites of courses.","OK"
2430132014579,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","The friendships and connections I have formed. The resources and knowledge of lecturers. The placements have also been very well-worth experiences which are a testament to UNSW connections.","OK"
2430132014585,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","WIL and lab internship. More explanation of honours and career options after graduating as well as support with finding jobs.","OK"
2430132014657,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","I get to practice a lot more critical thinking with innovating ideas and it's more practical learning which is always nice. So far it's pre good i just feel like there's a lot of group assignments at times and the assignments might take more time than wr have.","OK"
2430132014947,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","When the subjects are practical. Overload of theory that isn't practical.","OK"
2430132015583,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The practical ability to build robots; however, often, courses that have this are also poorly run, leaving there little ability to gain a truly in-depth understanding. There is a general lack of regard for student wellbeing in engineering in that the courses are designed for students to get a 50% which places added stress on students that not only is it extremely difficult to get a decent grade but it is also a serious challenge to simply pass (majority but not all courses). There are too many professors or a/profs who write exams that have to be scaled wildly due to the information in the test not being taught, and this occurs repeatedly, even multiple times in the same course.most courses lack a good physical component which is disappointing, often they make mechatronics more about coding even though it a combination mostly mechanical with a bit of electrical and coding.","OK"
2430132016345,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","Meeting friends who support me when the teachers and course content prove unsupportive and difficult. Student support, grading/ feedback, course content, cost of learning, trimester structure.","OK"
2430132016431,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","N/A. N/A.","OK"
2430132016434,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","So hard and crowded like damn, how we meant to learn like this where r there seminars with small class sizes we were promised. Easier assignments.","OK"
2430132017113,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","In my commerce program I have enjoyed some courses that were more technical and worked on more specific skills. I have felt many courses were not that useful to me. However some courses, such as COMM3501, ECON3210, COMM1190 and COMM1140 were very useful and engaging. I think the entrepreneur courses were good and encouraging students to be innovative and creative and appreciate the inclusion of those in the degree. I think myself and other students I have spoken to agree that commerce courses should teach more skills rather than vague ideas or concepts. I have found the courses I like most are those that teach specific skills (R, financial maths and formulas) as I find these are much more worthwhile and the lessons I've learned are clear. While I do believe teaching students how to think is important, I think students I have spoken to become frustrated with courses when they dont feel that the content is valuable to them.","OK"
2430132023552,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","Online learning. Organisation of tutorial times and class assignments.","OK"
2430132024208,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Better rooms and placement on campus. i don't like being in random rooms. dedicated english space.","OK"
2430132024484,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Highly experienced and knowledgable lecturers. More variety in types of histories available to study.","OK"
2430132024933,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Very academically challenging and supportive of growth. The connection between what we learn versus real life explanation.","OK"
2430132025114,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Assignment.","OK"
2430132025145,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The content/ readings are interesting. More class interaction.","OK"
2430132025428,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","More study resources, quality teaching that doesn't rush through content, creating a non-judgemental environment, a focus on developing law exam skills in the particular law topic we are learning (e.g. tutorials), practice questions with sample answers, more transparency on the marking process and how marks are given.","OK"
2430132025522,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","I really enjoyed how the Law program is done in seminars rather than traditional lecture/tutorials because it is more engaging and develops my understanding better. I think assessments also closely reflect what we have learnt in class.","OK"
2430132026777,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","Great lecturers [specified name removed] [specified name removed] and classes with diverse and friendly students. Range of resources and approachability for support from lecturers and convenors during exam periods and term time.","OK"
2430132032949,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The original lecturer has gone on holidays so the BIOM1010 course was run poorly with little to no communication over assessment tasks that were vaguely ruled out. Some of the material linked back to quizzes that had a deadline in 2019 and the tutors weren't given enough time and resources to teach us how to make a model of an issue that was beyond our abilities.","OK"
2430132035568,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","Social aspect of tutorials, lots of class discussion. Lectures feel redundant, not necessary for assignments.","OK"
2430132035926,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The course structure and detail of contents. Less group work.","OK"
2430132037037,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The constant class discourse that accompanies all subjects that allows us to collaborate and conceptualise the content being taught, whilst also placing it into the current socio-cultural context. Whilst most of the content is contextually relevant and we have the opportunity to conceptually apply what we are learning to the current socio-cultural scene, it would be beneficial to have more opportunities to engage with real-world change making organisations.","OK"
2430132037212,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","Lecturers are knowledgeable. It is an in person in class. Stimulating and interesting content. Ensuring lecturers aren't overwhelmed and can keep to the course plan so certain classes with certain lecturers aren't behind other classes in content.","OK"
2430132037273,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Learning about cybersecurity and useful tutorials.","OK"
2430132037589,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Not many because I didn't enjoy my engineering courses. Too many lecturers and tutors whose English is poor. It's difficult to understand them.","OK"
2430132038093,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The overall hands on aspect of applicable courses as well as the access to facilities like the makerspace. The class sizes for lectures and classes in general make the degree aspect feel impersonal as well as the fast paced approach.","OK"
2430132038325,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Learning about how business links with technology. The tutors ability to teach course concepts. Some courses repeat the same theory on cybersecurity. The lecture slides are just huge information chunks that are not helpful.","OK"
2430132038703,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","I enjoy that this degree allows me to progress with a cohort so I can make bonds that allow us to form study groups, make friends and share relevant work experience. It makes the degree more pleasant when you have people continuously alongside you. There is very limited opportunity for feedback and to improve. There is no feedback for the final exam which is slightly absurd considering it makes up 60% of our grade each term. The assignments should be more evenly weighted.","OK"
2430132039140,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The philosophy readings are diverse, interesting and well rounded. Both introductory courses were well structured. More philosophy course offerings for the later years would be good, particularly courses of feminist philosophy, Marxist philosophy or Nietzsche which are common in other universities would be nice.","OK"
2430132039495,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","Meeting people alike. Course resources.","OK"
2430132051546,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Aspiring. More tutorials.","OK"
2430132054803,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","I love the lectures particularly; the teachers are very passionate and the ideas discussed are intriguing. There's no forums attached to ask questions; the degree feels very independent to a fault.","OK"
